clube_nome_completo,apelido,posicao_nome,mando,adversario_nome,pontos_num,media_num,jogos_num,preco_num,variacao_num
Coritiba,Vini Paulista,Meia,Fora,CRU,0.0,0.0,1,2.45,-0.55
Remo,Marcelo Rangel,Goleiro,Casa,MIR,3.2,3.2,1,4.39,0.39
Remo,Ygor Vinhas,Goleiro,Casa,MIR,0.0,0.0,0,3.0,0.0
Coritiba,Benassi,Goleiro,Fora,CRU,0.0,0.0,0,1.0,0.0
Remo,Jorge,Lateral,Casa,MIR,0.0,0.0,0,4.0,0.0
Coritiba,Lucas Taverna,Lateral,Fora,CRU,0.0,0.0,0,1.0,0.0
Coritiba,Thiago Azaf,Atacante,Fora,CRU,0.0,0.0,0,1.0,0.0
Remo,Klaus,Zagueiro,Casa,MIR,0.0,0.0,0,4.0,0.0
Coritiba,Jean Gabriel,Meia,Fora,CRU,0.0,0.0,0,2.0,0.0
Remo,Panagiotis Tachtsidis,Meia,Casa,MIR,0.0,0.0,0,3.0,0.0
Coritiba,Matheus Dias,Meia,Fora,CRU,0.0,0.0,0,1.0,0.0
Remo,Dodô,Meia,Casa,MIR,-0.8,-0.8,1,2.17,-0.83
Remo,João Lucas,Lateral,Casa,MIR,2.2,2.2,1,4.86,-0.14
Remo,Giovanni Pavani,Meia,Casa,MIR,1.5,1.5,1,2.98,-0.02
Remo,Cantillo,Meia,Casa,MIR,0.0,0.0,0,5.0,0.0
Remo,Carlinhos,Atacante,Casa,MIR,0.0,0.0,0,4.0,0.0
Remo,Marcelinho,Lateral,Casa,MIR,0.0,0.0,1,2.45,-0.55
Remo,Sávio,Lateral,Casa,MIR,0.0,0.0,0,4.0,0.0
Remo,Zé Ricardo,Meia,Casa,MIR,0.1,0.1,1,2.49,-0.51
Remo,Jáderson,Meia,Casa,MIR,1.7,1.7,1,3.87,-0.13
Remo,Marrony,Atacante,Casa,MIR,0.0,0.0,0,4.0,0.0
Athlético-PR,Luiz Gustavo,Meia,Casa,COR,0.0,0.0,0,6.0,0.0
