rodada;atleta_id;nome;time;adversario;mandante;posicao_id;pontos;CA;DS;FC;FF;I;FS;SG;G;FD;PS;DE;GS;PC;V;FT;A;GC;CV
1;137542;Kaique Kenji;CRU;BOT;False;5;-0.5;1.0;;1.0;1.0;;;;;;;;;;;;;;
1;139076;Filipe Luís;FLA;SAO;False;6;3.95;;;;;;;;;;;;;;;;;;
1;141406;Andrey Fernandes;VAS;MIR;False;5;1.7;;;;;;1.0;;;1.0;;;;;;;;;
1;141451;Allan;PAL;CAM;False;4;1.9;;1.0;2.0;;;2.0;;;;;;;;;;;;
1;141611;Maik;SAO;FLA;True;2;2.7;;2.0;1.0;;;;;;;;;;;;;;;
1;141754;Gabriel Bontempo;SAN;CHA;False;4;0.0;;;;;;;;;;;;;;;;;;
1;141868;Vinicius Lira;SAN;CHA;False;2;3.5;;1.0;;1.0;;;;;1.0;;;;;;;;;
1;142004;Amuzu;GRE;FLU;False;5;1.7;;1.0;1.0;;;1.0;;;;;;;;;;;;
1;142265;Dell;BAH;COR;False;5;2.5;;1.0;;;;2.0;;;;;;;;;;;;
1;142279;Nuno Moreira;VAS;MIR;False;4;0.7;1.0;1.0;1.0;;;1.0;;;;;;;;;;;;
1;142484;Barrera;BOT;CRU;True;4;0.0;;;;;;;;;;;;;;;;;;
1;142867;Robinho Jr.;SAN;CHA;False;5;0.0;;;;;;;;;;;;;;;;;;
1;142890;Montoro;BOT;CRU;True;4;5.8;;;3.0;;;1.0;;;1.0;;;;;;;1.0;;
1;143193;Viveros;CAP;INT;False;5;10.2;;1.0;2.0;2.0;;3.0;;;1.0;;;;;;;1.0;;
1;143488;Raykkonen;INT;CAP;True;5;0.5;;;;;;1.0;;;;;;;;;;;;
1;145036;Fernando Pradella;SAN;CHA;False;5;0.0;;;;;;;;;;;;;;;;;;
1;145404;Arthur;PAL;CAM;False;2;-0.3;;;1.0;;;;;;;;;;;;;;;
1;145744;André;COR;BAH;True;4;6.5;;4.0;;;;1.0;;;;;;;;;;;;
1;146040;João Pedro;REM;VIT;False;5;-1.0;;;5.0;;;1.0;;;;;;;;;;;;
1;147883;João Vitor;VAS;MIR;False;5;0.0;;;;;;;;;;;;;;;;;;
1;37656;Fábio;FLU;GRE;True;1;2.1;;;;;;1.0;;;;;2.0;1.0;;;;;;
1;39148;Hulk;CAM;PAL;True;5;5.3;;;1.0;4.0;1.0;5.0;;;;;;;;;;;;
1;39656;Alan Franco;CAM;PAL;True;4;-0.1;1.0;1.0;2.0;;;;;;;;;;;;;;;
1;39850;Vagner Mancini;RBB;CFC;False;6;8.07;;;;;;;;;;;;;;1.0;;;;
1;40990;Dorival Júnior;COR;BAH;True;6;6.6;;;;;;;;;;;;;;;;;;
1;42135;Willian;GRE;FLU;False;4;-0.3;;;1.0;;;;;;;;;;;;;;;
1;42222;Osvaldo;VIT;REM;True;5;0.8;;;;1.0;;;;;;;;;;;;;;
1;42234;Cássio;CRU;BOT;False;1;-2.7;;;;;;;;;;;1.0;4.0;;;;;;
1;42500;Fagner;CRU;BOT;False;2;0.9;;1.0;2.0;;;;;;;;;;;;;;;
1;45125;Tite;CRU;BOT;False;6;1.37;;;;;;;;;;;;;;;;;;
1;51413;Walter;MIR;VAS;True;1;4.2;;;;;;;;;;;4.0;1.0;;;;;;
